hour_utc,no2_hawcliffe_rd_mountsorrel,pm25_hawcliffe_rd_mountsorrel,pm10_hawcliffe_rd_mountsorrel,pm1_hawcliffe_rd_mountsorrel,no_hawcliffe_rd_mountsorrel,o3_hawcliffe_rd_mountsorrel
2021-01-29T00:00:00Z,7.14,4.15,4.71,2.19,98.2,13.28
2021-01-29T01:00:00Z,6.86,9.67,11.4,8.53,94.14,11.4
2021-01-29T02:00:00Z,6.57,13.93,17.02,12.66,92.1,8.86
2021-01-29T03:00:00Z,6.89,3.98,4.6,1.97,86.9,10.0
2021-01-29T04:00:00Z,7.13,2.59,2.89,0.28,85.64,10.76
2021-01-29T05:00:00Z,7.33,2.58,2.87,0.26,92.65,11.82
2021-01-29T06:00:00Z,4.88,2.5,2.76,0.09,131.31,11.16
2021-01-29T07:00:00Z,4.16,2.55,2.81,0.06,132.16,8.58
2021-01-29T08:00:00Z,5.52,2.73,3.01,0.23,137.67,11.08
2021-01-29T09:00:00Z,15.15,2.67,2.95,0.18,147.18,23.29
2021-01-29T10:00:00Z,12.95,2.82,3.12,0.35,140.31,21.73
2021-01-29T11:00:00Z,10.4,3.02,3.34,0.45,123.09,19.81
2021-01-29T12:00:00Z,8.53,4.98,6.12,2.01,88.11,13.64
2021-01-29T13:00:00Z,10.79,5.32,6.51,2.28,93.28,16.05
2021-02-01T16:00:00Z,10.71,7.67,11.12,4.64,102.62,1.22
2021-02-01T17:00:00Z,0.99,9.13,12.62,5.65,184.68,0.38
2021-02-01T18:00:00Z,1.73,10.52,14.48,7.05,227.2,3.06
2021-02-01T19:00:00Z,5.13,9.39,12.9,5.69,259.9,6.4
2021-02-01T20:00:00Z,6.64,9.75,13.11,6.06,292.58,7.27
2021-02-01T21:00:00Z,7.35,10.12,13.87,6.65,295.34,6.62
2021-02-01T22:00:00Z,7.57,9.61,12.9,6.07,259.68,6.64
2021-02-01T23:00:00Z,7.96,9.47,12.63,5.98,253.76,6.18
2021-02-02T00:00:00Z,8.12,8.19,10.41,5.05,214.23,7.0
2021-02-02T01:00:00Z,8.14,6.95,8.37,3.96,192.55,5.91
2021-02-02T02:00:00Z,8.44,6.04,7.01,3.19,170.8,6.12
2021-02-02T03:00:00Z,8.59,4.67,5.22,1.93,154.14,6.13
2021-02-02T04:00:00Z,8.87,3.9,4.27,1.28,138.25,6.05
2021-02-02T05:00:00Z,8.65,3.62,3.98,0.97,143.63,5.79
2021-02-02T06:00:00Z,8.57,3.56,3.93,0.96,139.71,5.9
2021-02-02T07:00:00Z,8.53,3.77,4.12,1.13,157.6,5.69
2021-02-02T08:00:00Z,8.59,3.94,4.32,1.15,153.25,5.72
2021-02-02T09:00:00Z,8.59,4.01,4.45,1.17,146.5,6.01
2021-02-02T10:00:00Z,8.39,9.5,12.9,7.52,146.41,5.85
2021-02-02T11:00:00Z,7.66,6.21,7.51,4.26,155.06,5.94
2021-02-02T12:00:00Z,6.5,3.4,3.75,0.63,178.76,5.73
2021-02-02T13:00:00Z,5.64,3.28,3.63,0.54,164.47,5.79
2021-02-02T14:00:00Z,5.96,3.75,4.11,0.85,151.87,12.8
2021-02-02T15:00:00Z,7.39,3.57,4.0,0.74,160.65,11.18
2021-02-02T16:00:00Z,7.35,3.14,3.46,0.28,147.27,7.16
2021-02-02T17:00:00Z,7.57,3.19,3.54,0.37,141.22,6.64
2021-02-02T18:00:00Z,8.57,3.23,3.58,0.46,129.82,6.7
2021-02-02T19:00:00Z,8.85,3.11,3.43,0.32,128.45,6.47
2021-02-02T20:00:00Z,7.98,3.07,3.39,0.36,145.18,6.17
2021-02-02T21:00:00Z,7.99,3.04,3.36,0.36,133.36,6.01
2021-02-02T22:00:00Z,7.97,3.01,3.33,0.33,135.11,5.6
2021-02-02T23:00:00Z,7.67,2.89,3.18,0.21,140.83,5.55
2021-02-03T00:00:00Z,7.35,2.83,3.11,0.15,162.45,5.58
2021-02-03T01:00:00Z,7.49,2.79,3.07,0.13,151.97,5.7
2021-02-03T02:00:00Z,7.56,2.63,2.89,0.04,143.93,6.02
2021-02-03T03:00:00Z,7.68,2.56,2.82,0.01,146.29,5.16
2021-02-03T04:00:00Z,7.54,2.6,2.86,0.05,143.85,5.47
2021-02-03T05:00:00Z,7.74,2.48,2.73,0.0,147.05,5.66
2021-02-03T06:00:00Z,7.69,2.48,2.73,0.0,149.38,5.35
2021-02-03T07:00:00Z,7.78,2.48,2.73,0.01,150.29,6.07
2021-02-03T08:00:00Z,7.91,2.47,2.72,0.0,144.66,5.32
2021-02-03T09:00:00Z,8.67,2.61,2.86,0.02,147.26,5.52
2021-02-03T10:00:00Z,8.58,2.65,2.91,0.07,162.77,5.7
2021-02-03T11:00:00Z,8.53,2.74,3.01,0.07,188.05,5.85
2021-02-03T12:00:00Z,8.51,2.68,2.95,0.08,214.51,6.29
2021-02-03T13:00:00Z,7.08,2.96,3.26,0.34,275.54,6.08
2021-02-03T14:00:00Z,5.77,3.31,3.65,0.63,284.49,6.84
2021-02-03T15:00:00Z,6.67,3.42,3.77,0.77,254.83,6.71
2021-02-03T16:00:00Z,6.48,3.42,3.75,0.77,252.47,6.68
2021-02-03T17:00:00Z,6.58,3.35,3.69,0.68,222.73,6.83
2021-02-03T18:00:00Z,8.02,3.37,3.7,0.72,192.63,6.75
2021-02-03T19:00:00Z,8.65,3.21,3.53,0.59,177.54,7.02
2021-02-03T20:00:00Z,8.36,3.51,3.88,0.74,173.66,6.54
2021-02-03T21:00:00Z,9.02,3.69,4.04,1.04,158.2,6.65
2021-02-03T22:00:00Z,8.68,3.78,4.14,1.06,160.02,6.58
2021-02-03T23:00:00Z,8.37,4.33,4.79,1.63,157.12,5.85
2021-02-04T00:00:00Z,8.28,3.91,4.32,1.18,160.82,6.07
2021-02-04T01:00:00Z,8.13,3.75,4.16,1.02,157.98,5.56
2021-02-04T02:00:00Z,8.24,3.6,3.97,0.87,142.62,5.32
2021-02-04T03:00:00Z,7.95,3.71,4.09,0.96,139.22,4.62
2021-02-04T04:00:00Z,7.95,3.41,3.74,0.7,140.91,4.7
2021-02-04T05:00:00Z,7.84,3.34,3.67,0.62,135.34,4.67
2021-02-04T06:00:00Z,8.32,3.19,3.53,0.52,132.15,4.83
2021-02-04T07:00:00Z,8.27,3.1,3.42,0.41,140.45,5.78
2021-02-04T08:00:00Z,8.59,3.0,3.31,0.31,129.4,5.56
2021-02-04T09:00:00Z,9.33,3.04,3.35,0.4,133.38,5.83
2021-02-04T10:00:00Z,8.83,3.06,3.36,0.44,127.4,6.02
2021-02-04T11:00:00Z,9.77,3.22,3.54,0.74,98.61,5.09
2021-02-04T12:00:00Z,8.69,2.99,3.28,0.37,105.4,4.86
2021-02-04T13:00:00Z,9.06,2.94,3.23,0.34,117.11,5.22
2021-02-04T14:00:00Z,8.87,3.01,3.31,0.34,133.01,6.23
2021-02-04T15:00:00Z,8.03,2.71,2.98,0.36,161.64,5.07
2021-03-17T11:00:00Z,0.0,4.14,4.56,1.0,1424.51,0.0
2021-03-17T12:00:00Z,0.0,4.11,4.59,1.23,1191.99,0.0
2021-03-24T17:00:00Z,4.69,2.92,3.21,0.36,609.13,0.0
2021-03-24T18:00:00Z,3.97,3.78,4.19,0.9,581.35,0.21
2021-03-24T19:00:00Z,5.47,7.39,8.87,4.19,493.63,0.26
2021-03-24T20:00:00Z,6.24,7.91,9.8,4.81,452.55,0.63
2021-03-24T21:00:00Z,6.14,7.4,8.86,4.3,447.93,0.68
2021-03-24T22:00:00Z,6.72,6.16,7.04,3.27,393.38,0.68
2021-03-24T23:00:00Z,7.58,5.41,6.05,2.74,319.56,1.2
2021-03-25T00:00:00Z,9.57,6.72,8.08,4.75,258.83,2.05
2021-03-25T01:00:00Z,10.0,4.4,4.95,1.96,225.71,1.63
2021-03-25T02:00:00Z,8.33,4.14,4.59,1.58,224.55,1.31
2021-03-25T03:00:00Z,8.91,6.01,7.12,3.77,180.98,1.51
2021-03-25T04:00:00Z,9.45,3.98,4.47,1.66,172.5,1.69
2021-03-25T05:00:00Z,9.45,3.54,3.92,1.28,158.98,2.06
2021-03-25T06:00:00Z,9.75,3.21,3.58,0.88,156.34,1.66
2021-03-25T07:00:00Z,10.64,2.7,2.96,0.25,148.23,2.14
2021-03-25T08:00:00Z,11.1,2.67,2.94,0.19,164.77,2.16
2021-03-25T09:00:00Z,9.66,2.89,3.18,0.52,186.98,2.32
2021-03-25T10:00:00Z,8.96,2.96,3.26,0.39,213.24,2.3
2021-03-25T11:00:00Z,7.5,2.82,3.11,0.28,225.67,1.76
2021-03-25T12:00:00Z,4.09,2.81,3.09,0.14,277.6,1.72
2021-03-25T13:00:00Z,1.52,2.81,3.09,0.09,332.69,2.03
2021-03-25T14:00:00Z,0.78,3.06,3.39,0.24,348.9,2.23
2021-03-25T15:00:00Z,0.33,3.92,4.34,0.89,326.19,9.97
2021-03-25T16:00:00Z,11.78,4.53,5.43,1.39,177.09,7.35
2021-03-25T17:00:00Z,7.49,4.56,5.15,1.7,1.29,5.6
2021-03-25T18:00:00Z,5.71,4.32,4.78,1.48,0.0,7.01
2021-03-25T19:00:00Z,6.43,3.81,4.18,1.13,26.94,5.37
2021-03-25T20:00:00Z,6.66,3.73,4.1,0.94,90.12,5.37
2021-03-25T21:00:00Z,8.02,3.45,3.81,0.78,112.24,4.73
2021-03-25T22:00:00Z,9.13,3.32,3.65,0.7,122.7,4.26
2021-03-25T23:00:00Z,9.86,3.66,4.03,1.22,119.39,4.34
2021-03-26T00:00:00Z,10.01,3.49,3.81,0.97,121.16,3.64
2021-03-26T01:00:00Z,9.89,3.24,3.56,0.64,148.61,3.73
2021-03-26T02:00:00Z,10.02,3.15,3.45,0.59,117.67,3.78
2021-03-26T03:00:00Z,10.21,3.26,3.56,0.76,121.17,4.89
2021-03-26T04:00:00Z,10.56,3.1,3.42,0.68,118.76,4.56
2021-03-26T05:00:00Z,10.13,2.89,3.18,0.46,109.92,3.45
2021-03-26T06:00:00Z,9.95,2.7,3.01,0.3,108.15,3.89
2021-03-26T07:00:00Z,10.51,2.66,2.92,0.33,106.35,4.84
2021-03-26T08:00:00Z,11.19,2.69,2.95,0.22,118.67,4.86
2021-03-26T09:00:00Z,10.04,2.68,2.96,0.17,159.44,5.36
2021-03-26T10:00:00Z,8.9,2.91,3.2,0.38,147.11,6.0
2021-03-26T11:00:00Z,9.24,2.88,3.22,0.45,130.6,4.84
2021-03-26T12:00:00Z,9.46,2.64,2.91,0.17,121.28,4.3
2021-03-26T13:00:00Z,8.79,2.44,2.69,0.04,126.89,3.89
2021-03-26T14:00:00Z,8.04,2.42,2.66,0.01,137.15,2.91
2021-03-26T15:00:00Z,7.11,2.44,2.68,0.01,149.17,2.84
2021-03-26T16:00:00Z,7.53,3.52,3.83,1.35,148.73,2.25
2021-03-26T17:00:00Z,6.19,3.64,3.98,1.5,146.77,2.6
2021-03-26T18:00:00Z,7.99,2.5,2.76,0.0,135.8,3.99
2021-03-26T19:00:00Z,7.88,2.49,2.74,0.0,141.59,3.75
2021-03-26T20:00:00Z,8.46,2.51,2.76,0.02,123.27,4.82
2021-03-26T21:00:00Z,9.02,2.65,2.91,0.05,128.42,4.54
2021-03-26T22:00:00Z,9.41,2.67,2.94,0.11,115.2,4.04
2021-03-26T23:00:00Z,9.34,2.58,2.85,0.06,94.72,4.19
2021-03-27T00:00:00Z,9.53,2.52,2.78,0.01,84.49,3.04
2021-03-27T01:00:00Z,9.23,2.43,2.67,0.0,78.35,2.32
2021-03-27T02:00:00Z,8.97,2.41,2.65,0.0,92.94,2.77
2021-03-27T03:00:00Z,9.03,2.55,2.79,0.02,72.43,2.98
2021-03-27T04:00:00Z,8.87,2.57,2.83,0.04,67.9,3.25
2021-03-27T05:00:00Z,8.81,2.48,2.73,0.0,78.37,3.88
2021-03-27T06:00:00Z,8.88,2.55,2.8,0.04,65.84,4.38
2021-03-27T07:00:00Z,9.31,2.61,2.87,0.06,62.8,4.21
2021-03-27T08:00:00Z,10.23,2.64,2.92,0.05,71.77,3.77
2021-03-27T09:00:00Z,8.85,2.64,2.91,0.05,86.41,2.84
2021-03-27T10:00:00Z,8.52,2.61,2.87,0.02,92.01,3.06
2021-03-27T11:00:00Z,7.09,2.66,2.93,0.02,115.85,2.86
2021-03-27T12:00:00Z,6.6,2.67,2.94,0.02,117.06,2.61
2021-03-27T13:00:00Z,6.09,2.74,3.01,0.04,136.27,2.42
2021-03-27T14:00:00Z,5.96,2.81,3.09,0.02,119.13,3.19
2021-03-27T15:00:00Z,6.36,2.88,3.17,0.06,145.43,4.07
2021-03-27T16:00:00Z,7.22,3.05,3.35,0.13,102.9,5.41
2021-03-27T17:00:00Z,8.13,3.15,3.47,0.26,90.34,5.63
2021-03-27T18:00:00Z,9.41,3.2,3.52,0.36,86.95,5.98
2021-03-27T19:00:00Z,9.39,3.15,3.47,0.41,95.69,4.89
2021-03-27T20:00:00Z,8.96,3.42,3.76,0.66,86.8,5.43
2021-03-27T21:00:00Z,9.59,3.37,3.72,0.74,77.95,6.44
2021-03-27T22:00:00Z,9.79,3.3,3.65,0.57,77.98,6.27
2021-03-27T23:00:00Z,9.9,3.16,3.47,0.47,81.53,6.87
2021-03-28T00:00:00Z,10.0,3.06,3.36,0.46,63.9,6.89
2021-03-28T01:00:00Z,9.9,3.0,3.31,0.46,62.5,6.95
2021-03-28T02:00:00Z,9.94,2.87,3.17,0.32,63.27,8.77
2021-03-28T03:00:00Z,9.91,2.66,2.93,0.15,58.61,8.59
2021-03-28T04:00:00Z,10.08,2.75,3.05,0.14,55.65,9.24
2021-03-28T05:00:00Z,10.01,2.62,2.9,0.08,56.33,10.5
2021-03-28T06:00:00Z,10.23,2.5,2.74,0.08,52.59,10.83
2021-03-28T07:00:00Z,11.0,2.39,2.66,0.04,54.37,10.72
2021-03-28T08:00:00Z,11.54,2.25,2.48,0.0,68.51,8.85
2021-03-28T09:00:00Z,9.97,2.24,2.46,0.0,72.15,9.26
2021-03-28T10:00:00Z,10.0,2.26,2.48,0.01,75.09,8.92
2021-03-28T11:00:00Z,8.33,2.32,2.55,0.01,87.81,4.08
2021-03-28T12:00:00Z,8.11,2.33,2.57,0.0,87.59,4.88
2021-03-28T13:00:00Z,8.38,2.36,2.6,0.01,88.61,4.03
2021-03-28T14:00:00Z,8.62,2.37,2.6,0.0,87.41,5.87
2021-03-28T15:00:00Z,9.13,2.31,2.54,0.0,82.76,7.54
2021-03-28T16:00:00Z,9.78,2.29,2.52,0.02,81.52,10.06
2021-03-28T17:00:00Z,10.0,2.24,2.46,0.01,98.48,10.58
2021-03-28T18:00:00Z,10.9,2.19,2.41,0.0,79.35,10.24
2021-03-28T19:00:00Z,10.39,2.2,2.42,0.01,86.17,8.82
2021-03-28T20:00:00Z,9.49,2.37,2.61,0.15,78.67,8.41
2021-03-28T21:00:00Z,9.26,2.59,2.85,0.25,79.59,9.08
2021-03-28T22:00:00Z,9.41,2.37,2.64,0.14,68.42,10.58
2021-03-28T23:00:00Z,9.17,2.46,2.69,0.24,82.66,8.61
2021-03-29T00:00:00Z,9.36,2.37,2.62,0.08,64.84,7.73
2021-03-29T01:00:00Z,9.19,2.33,2.55,0.09,63.16,7.91
2021-03-29T02:00:00Z,9.19,2.34,2.6,0.13,61.24,7.49
2021-03-29T03:00:00Z,9.14,2.36,2.59,0.12,60.36,6.5
2021-03-29T04:00:00Z,9.05,2.24,2.46,0.05,56.87,6.22
2021-03-29T05:00:00Z,9.15,2.24,2.45,0.05,55.54,6.35
2021-03-29T06:00:00Z,9.24,2.2,2.42,0.01,58.5,6.87
2021-03-29T07:00:00Z,9.91,2.2,2.41,0.12,52.58,7.04
2021-03-29T08:00:00Z,11.02,2.22,2.44,0.11,61.28,6.58
2021-03-29T09:00:00Z,9.15,2.3,2.53,0.29,124.01,4.83
2021-03-29T10:00:00Z,7.45,2.2,2.42,0.0,89.52,3.29
2021-03-29T11:00:00Z,5.73,2.34,2.57,0.01,128.57,2.98
2021-03-29T12:00:00Z,5.46,2.43,2.68,0.01,139.34,4.6
2021-03-29T13:00:00Z,3.8,2.52,2.77,0.07,194.77,7.53
2021-03-29T14:00:00Z,3.21,2.47,2.72,0.0,195.3,7.04
2021-03-29T15:00:00Z,3.75,2.53,2.79,0.02,210.76,6.98
2021-03-29T16:00:00Z,4.47,3.35,3.69,1.08,191.16,5.44
2021-03-29T17:00:00Z,5.17,23.3,29.65,20.98,190.71,5.77
2021-03-29T18:00:00Z,6.94,3.14,3.45,0.68,159.53,7.51
2021-03-29T19:00:00Z,7.01,3.42,3.74,0.99,168.39,7.58
2021-03-29T20:00:00Z,7.65,5.41,6.17,3.18,138.57,6.1
2021-03-29T21:00:00Z,8.46,3.45,3.75,1.16,118.38,4.07
2021-03-29T22:00:00Z,8.79,3.33,3.66,1.08,133.85,4.54
2021-03-29T23:00:00Z,8.98,3.56,3.99,1.31,102.36,3.71
2021-03-30T00:00:00Z,9.09,3.79,4.13,1.59,97.77,3.15
2021-03-30T01:00:00Z,9.05,3.84,4.21,1.49,88.21,3.2
2021-03-30T02:00:00Z,9.2,4.27,4.67,2.0,101.7,2.92
2021-03-30T03:00:00Z,9.04,4.3,4.76,2.14,85.9,2.92
2021-03-30T04:00:00Z,8.91,4.4,4.89,2.23,82.83,2.73
2021-03-30T05:00:00Z,8.86,4.57,5.15,2.33,75.97,2.46
2021-03-30T06:00:00Z,8.86,4.87,5.61,2.71,65.41,2.91
2021-03-30T07:00:00Z,9.02,5.17,6.01,2.92,63.25,2.65
2021-03-30T08:00:00Z,9.18,5.2,5.98,2.94,73.93,3.7
2021-03-30T09:00:00Z,9.41,5.04,5.72,2.74,76.52,3.73
2021-03-30T10:00:00Z,9.12,5.1,5.84,2.8,90.94,4.03
2021-03-30T11:00:00Z,6.76,5.17,5.66,2.73,141.81,3.26
2021-03-30T12:00:00Z,4.09,5.77,6.59,3.41,171.48,4.39
2021-03-30T13:00:00Z,3.11,5.02,5.52,2.44,202.36,5.49
2021-03-30T14:00:00Z,2.41,5.76,6.23,3.34,208.69,6.71
2021-03-30T15:00:00Z,2.42,5.59,6.05,3.14,210.92,6.41
2021-03-30T16:00:00Z,2.99,4.6,5.04,1.97,196.87,5.52
2021-03-30T17:00:00Z,3.65,4.36,4.77,1.73,198.04,5.38
2021-03-30T18:00:00Z,4.66,4.37,4.81,1.77,178.18,5.43
2021-03-30T19:00:00Z,5.26,4.14,4.5,1.52,179.85,5.45
2021-03-30T20:00:00Z,5.54,4.23,4.67,1.68,166.18,4.9
2021-03-30T21:00:00Z,6.53,4.32,4.75,1.76,176.25,4.58
2021-03-30T22:00:00Z,7.25,4.55,5.0,2.13,135.71,3.94
2021-03-30T23:00:00Z,7.5,5.24,5.78,2.98,127.09,4.44
2021-03-31T00:00:00Z,7.71,5.96,6.91,3.49,121.35,4.26
2021-03-31T01:00:00Z,7.81,6.49,7.79,4.12,119.34,4.04
2021-03-31T02:00:00Z,8.04,7.52,9.29,5.27,108.98,4.15
2021-03-31T03:00:00Z,7.97,7.22,9.01,4.75,107.59,3.64
2021-03-31T04:00:00Z,8.04,7.28,8.97,4.88,104.89,3.85
2021-03-31T05:00:00Z,7.98,6.91,8.41,4.53,100.76,3.51
2021-03-31T06:00:00Z,7.87,6.8,8.38,4.29,97.04,3.63
2021-03-31T07:00:00Z,8.42,6.43,7.65,4.02,97.34,3.41
2021-03-31T08:00:00Z,9.48,6.07,7.15,3.59,116.74,4.77
2021-03-31T09:00:00Z,7.76,5.61,6.27,3.11,136.97,4.76
2021-03-31T10:00:00Z,6.6,5.53,6.08,3.05,143.25,4.0
2021-03-31T11:00:00Z,3.62,5.8,6.5,3.43,205.19,4.11
2021-03-31T12:00:00Z,0.38,5.31,5.69,2.66,271.47,4.73
2021-03-31T13:00:00Z,0.0,5.14,5.7,2.4,285.75,6.54
2021-03-31T14:00:00Z,0.02,5.1,5.61,2.31,293.28,6.44
2021-03-31T15:00:00Z,0.08,4.91,5.37,2.21,294.83,6.35
2021-03-31T16:00:00Z,1.0,4.7,5.13,1.94,273.61,6.53
2021-03-31T17:00:00Z,2.4,4.47,4.89,1.76,258.75,6.23
2021-03-31T18:00:00Z,3.53,4.47,4.88,1.94,237.03,5.52
2021-03-31T19:00:00Z,3.2,4.33,4.74,1.73,256.55,5.42
2021-03-31T20:00:00Z,4.12,4.47,4.89,1.89,227.33,5.57
2021-03-31T21:00:00Z,5.44,4.42,4.86,1.89,209.83,5.14
2021-03-31T22:00:00Z,6.26,4.82,5.21,2.36,187.93,4.25
2021-03-31T23:00:00Z,6.82,5.66,6.36,3.25,163.01,4.11
2021-04-01T00:00:00Z,7.07,6.61,7.9,4.21,147.27,4.37
2021-04-01T01:00:00Z,7.44,6.87,8.3,4.46,171.17,4.48
2021-04-01T02:00:00Z,7.32,6.57,7.81,4.24,130.88,3.18
2021-04-01T03:00:00Z,7.29,7.57,9.31,5.4,165.26,4.17
2021-04-01T04:00:00Z,7.29,6.44,7.69,3.93,114.72,3.51
2021-04-01T05:00:00Z,7.28,6.71,8.14,3.8,143.57,3.56
2021-04-01T06:00:00Z,7.26,7.19,8.97,4.21,103.54,2.85
2021-04-01T07:00:00Z,7.56,7.54,9.54,4.75,100.32,2.92
2021-04-01T08:00:00Z,11.9,7.71,9.9,4.92,102.89,5.47
2021-04-01T09:00:00Z,11.8,11.55,16.49,8.06,0.0,2.89
2021-04-01T10:00:00Z,6.31,9.98,13.92,7.11,0.0,1.13
2021-04-01T11:00:00Z,6.55,7.46,9.64,4.59,3.89,1.23
2021-04-01T12:00:00Z,7.81,5.56,6.77,2.85,49.3,2.09
2021-04-01T13:00:00Z,7.39,4.49,5.02,1.89,116.52,1.8
2021-04-01T14:00:00Z,6.43,4.34,4.9,1.83,5.59,1.94
2021-04-01T15:00:00Z,6.17,3.61,3.97,1.01,38.64,1.37
2021-04-01T16:00:00Z,5.26,3.57,3.91,0.94,90.5,1.64
2021-04-01T17:00:00Z,5.27,3.19,3.5,0.63,133.97,2.9
2021-04-01T18:00:00Z,6.13,3.06,3.36,0.47,149.87,2.78
2021-04-01T19:00:00Z,6.81,4.16,4.72,1.95,149.17,2.63
2021-04-01T20:00:00Z,7.47,3.1,3.39,0.69,144.11,2.75
2021-04-01T21:00:00Z,7.76,2.82,3.13,0.27,133.78,3.03
2021-04-01T22:00:00Z,7.91,2.74,3.02,0.2,128.06,3.04
2021-04-01T23:00:00Z,7.98,2.71,2.98,0.22,116.2,2.72
2021-04-02T00:00:00Z,7.85,2.61,2.88,0.14,111.92,2.25
2021-04-02T01:00:00Z,7.89,2.63,2.89,0.12,106.35,2.18
2021-04-02T02:00:00Z,7.8,2.59,2.85,0.04,96.98,2.66
2021-04-02T03:00:00Z,7.83,2.58,2.84,0.07,93.77,1.92
2021-04-02T04:00:00Z,7.83,2.55,2.8,0.06,92.06,2.88
2021-04-02T05:00:00Z,7.78,2.51,2.76,0.02,88.09,2.53
2021-04-02T06:00:00Z,8.2,2.47,2.72,0.01,80.68,10.96
2021-04-02T07:00:00Z,9.04,2.46,2.7,0.05,89.36,2.9
2021-04-02T08:00:00Z,7.46,2.51,2.76,0.0,98.38,2.96
2021-04-02T09:00:00Z,7.14,2.78,3.06,0.18,95.07,3.02
2021-04-02T10:00:00Z,7.16,3.14,3.46,0.72,94.07,3.1
2021-04-02T11:00:00Z,6.91,3.52,3.87,1.05,117.31,3.02
2021-04-02T12:00:00Z,6.21,3.64,3.99,1.14,114.59,2.88
2021-04-02T13:00:00Z,4.35,3.84,4.23,1.27,137.84,2.87
2021-04-02T14:00:00Z,4.72,4.5,4.96,1.87,136.45,3.68
2021-04-02T15:00:00Z,5.36,4.92,5.39,2.33,133.0,3.78
2021-04-02T16:00:00Z,4.76,7.36,8.84,5.39,139.67,3.66
2021-04-02T17:00:00Z,5.11,6.56,7.61,4.48,134.38,4.56
2021-04-02T18:00:00Z,5.57,4.51,4.94,2.07,127.23,4.08
2021-04-02T19:00:00Z,6.5,6.45,8.17,4.23,106.91,4.07
2021-04-02T20:00:00Z,7.5,3.67,4.02,1.01,105.43,4.09
2021-04-02T21:00:00Z,8.21,3.56,3.92,0.9,83.52,4.39
2021-04-02T22:00:00Z,8.8,3.72,4.08,1.07,79.53,4.97
2021-04-02T23:00:00Z,8.99,3.95,4.34,1.27,73.61,5.16
2021-04-03T00:00:00Z,8.68,4.47,5.01,1.75,62.42,4.49
2021-04-03T01:00:00Z,8.47,4.57,5.05,1.82,65.78,3.56
2021-04-03T02:00:00Z,8.36,4.45,4.92,1.74,61.78,3.5
2021-04-03T03:00:00Z,8.46,4.36,4.86,1.61,52.76,3.19
2021-04-03T04:00:00Z,8.61,4.02,4.45,1.29,54.62,4.02
2021-04-03T05:00:00Z,8.69,4.01,4.46,1.25,51.5,4.02
2021-04-03T06:00:00Z,9.07,3.61,3.98,0.81,53.33,4.4
2021-04-03T07:00:00Z,9.78,3.86,4.33,1.15,60.09,4.71
2021-04-03T08:00:00Z,7.98,5.38,5.99,3.19,73.86,3.54
2021-04-03T09:00:00Z,7.69,4.86,5.42,2.61,62.55,3.87
2021-04-03T10:00:00Z,7.56,4.19,4.63,1.65,62.65,3.92
2021-04-03T11:00:00Z,7.48,4.26,4.76,1.65,63.81,4.54
2021-04-03T12:00:00Z,7.34,4.08,4.45,1.32,73.93,3.75
2021-04-03T13:00:00Z,6.74,4.08,4.49,1.21,78.49,3.7
2021-04-03T14:00:00Z,6.17,4.37,4.84,1.48,80.2,3.61
2021-04-03T15:00:00Z,6.14,4.84,5.29,1.96,90.26,3.34
2021-04-03T16:00:00Z,4.99,6.08,7.07,3.6,99.48,3.71
2021-04-03T17:00:00Z,5.25,5.52,6.06,2.71,101.1,4.75
2021-04-03T18:00:00Z,5.04,5.05,5.54,2.28,108.18,4.81
2021-04-03T19:00:00Z,5.62,5.83,6.33,3.18,95.89,4.31
2021-04-03T20:00:00Z,7.07,6.1,6.77,3.43,81.65,5.28
2021-04-03T21:00:00Z,7.66,6.05,6.82,3.41,67.02,4.56
2021-04-03T22:00:00Z,8.12,6.09,6.78,3.4,63.56,4.65
2021-04-03T23:00:00Z,8.32,6.0,6.86,3.54,56.58,4.1
2021-04-04T00:00:00Z,8.39,6.33,7.24,3.78,50.56,4.01
2021-04-04T01:00:00Z,8.52,6.66,7.97,4.02,50.11,4.13
2021-04-04T02:00:00Z,8.56,6.7,8.04,4.06,60.28,3.52
2021-04-04T03:00:00Z,8.35,6.73,7.99,3.96,47.19,3.01
2021-04-04T04:00:00Z,8.24,6.54,7.63,3.82,38.83,3.12
2021-04-04T05:00:00Z,8.31,6.36,7.39,3.65,41.99,3.29
2021-04-04T06:00:00Z,8.79,6.26,7.36,3.46,64.85,3.32
2021-04-04T07:00:00Z,9.95,5.85,6.53,3.15,58.47,3.89
2021-04-04T08:00:00Z,8.94,6.36,7.61,3.53,56.07,4.55
2021-04-04T09:00:00Z,9.29,7.2,8.88,4.36,61.1,5.67
2021-04-04T10:00:00Z,8.93,6.92,8.25,3.97,83.17,5.71
2021-04-04T11:00:00Z,5.64,9.51,12.61,6.58,110.15,5.51
2021-04-04T12:00:00Z,2.77,7.88,9.4,4.41,135.66,5.99
2021-04-04T13:00:00Z,1.97,7.03,7.93,3.73,162.37,6.17
2021-04-04T14:00:00Z,1.74,6.16,6.89,2.92,147.46,6.41
2021-04-04T15:00:00Z,2.74,5.56,6.17,2.51,140.27,6.27
2021-04-04T16:00:00Z,3.01,5.03,5.52,2.05,133.68,5.33
2021-04-04T17:00:00Z,4.23,5.01,5.46,2.13,125.78,5.78
2021-04-04T18:00:00Z,4.34,4.85,5.29,1.9,127.28,6.24
2021-04-04T19:00:00Z,4.69,5.41,6.08,2.6,109.17,6.03
